,frame,part,part_idx,x,y,z
0,0,wrist,0,0.06480944901704788,0.002164565958082676,0.07176432758569717
1,0,thumb_tip,4,-0.04398086667060852,0.048673372715711594,0.01074946578592062
2,0,index_finger_tip,8,-0.023345578461885452,0.05280879884958267,0.04190947115421295
3,0,middle_finger_tip,12,-0.009601283818483353,0.05178140103816986,0.039558470249176025
4,0,ring_finger_tip,16,0.006592201068997383,0.05229627341032028,0.03284510225057602
5,0,pinky_tip,20,0.0150423189625144,0.047622110694646835,0.021683307364583015
6,1,wrist,0,0.06110553443431854,-0.003746387315914035,0.0718938335776329
7,1,thumb_tip,4,-0.03863028809428215,0.050412368029356,0.006046992726624012
8,1,index_finger_tip,8,-0.023176755756139755,0.05015881732106209,0.027704792097210884
9,1,middle_finger_tip,12,-0.01123740617185831,0.05316722393035889,0.03177783638238907
10,1,ring_finger_tip,16,0.0074520413763821125,0.049779634922742844,0.02634633332490921
11,1,pinky_tip,20,0.018525172024965286,0.04204045608639717,0.020903559401631355
12,2,wrist,0,0.05790340527892113,-0.008123097941279411,0.07060118019580841
13,2,thumb_tip,4,-0.03443773463368416,0.04505029693245888,0.007887188345193863
14,2,index_finger_tip,8,-0.01918284222483635,0.046431008726358414,0.03097023442387581
15,2,middle_finger_tip,12,-0.010966874659061432,0.04797162115573883,0.028555413708090782
16,2,ring_finger_tip,16,0.0035576527006924152,0.044023677706718445,0.024185344576835632
17,2,pinky_tip,20,0.014765650033950806,0.03583735227584839,0.016239427030086517
18,3,wrist,0,0.05951318144798279,-0.006871391087770462,0.07111956179141998
19,3,thumb_tip,4,-0.036566369235515594,0.04724380373954773,0.00673007732257247
20,3,index_finger_tip,8,-0.0210101380944252,0.0487503856420517,0.03034336492419243
21,3,middle_finger_tip,12,-0.012622201815247536,0.050825271755456924,0.028208011761307716
22,3,ring_finger_tip,16,0.006216399371623993,0.04820922389626503,0.025296276435256004
23,3,pinky_tip,20,0.017161564901471138,0.04030546918511391,0.016444016247987747
24,4,wrist,0,0.05814309045672417,-0.003967559430748224,0.07378068566322327
25,4,thumb_tip,4,-0.03829456865787506,0.046784136444330215,0.0036976546980440617
26,4,index_finger_tip,8,-0.020845886319875717,0.048587094992399216,0.03871507942676544
27,4,middle_finger_tip,12,-0.01618797890841961,0.052746985107660294,0.03261410444974899
28,4,ring_finger_tip,16,0.004025095142424107,0.051404304802417755,0.029293427243828773
29,4,pinky_tip,20,0.01484180148690939,0.04400783032178879,0.024049552157521248
30,5,wrist,0,0.05546921119093895,-0.005516098812222481,0.07408495247364044
31,5,thumb_tip,4,-0.04005137085914612,0.04797065258026123,0.0037015601992607117
32,5,index_finger_tip,8,-0.024500321596860886,0.05031830444931984,0.03217456862330437
33,5,middle_finger_tip,12,-0.018664054572582245,0.053671944886446,0.029833035543560982
34,5,ring_finger_tip,16,0.0021539076697081327,0.05153118818998337,0.0289097148925066
35,5,pinky_tip,20,0.012812596745789051,0.04363781958818436,0.02343103289604187
36,6,wrist,0,0.0522470697760582,-0.005518367048352957,0.07762277871370316
37,6,thumb_tip,4,-0.03822573274374008,0.04584062844514847,-0.0009001961443573236
38,6,index_finger_tip,8,-0.02388041280210018,0.05007913336157799,0.03194979578256607
39,6,middle_finger_tip,12,-0.018221773207187653,0.05341870337724686,0.030041048303246498
40,6,ring_finger_tip,16,0.00225300551392138,0.050008904188871384,0.031063908711075783
41,6,pinky_tip,20,0.011310005560517311,0.04446239024400711,0.023300571367144585
42,7,wrist,0,0.04929053783416748,-0.00530747277662158,0.0777386799454689
43,7,thumb_tip,4,-0.037640951573848724,0.04098882898688316,-0.002734972396865487
44,7,index_finger_tip,8,-0.023802828043699265,0.049077410250902176,0.03214301913976669
45,7,middle_finger_tip,12,-0.01758134923875332,0.051427312195301056,0.03382309898734093
46,7,ring_finger_tip,16,0.000747492304071784,0.0478055439889431,0.0340297631919384
47,7,pinky_tip,20,0.009529192000627518,0.04282781481742859,0.025691034272313118
48,8,wrist,0,0.050270915031433105,-0.005588493309915066,0.07806889712810516
49,8,thumb_tip,4,-0.03727872669696808,0.041972387582063675,-0.002361430786550045
50,8,index_finger_tip,8,-0.022862853482365608,0.04942445829510689,0.03010462038218975
