,frame,part,x,y,z,visibility,presence
0,0,head,-0.012962935492396355,-0.6124724745750427,-0.38043445348739624,0.9999668598175049,0.9999935626983643
1,0,left shoulder,0.17823034524917603,-0.4725193679332733,-0.14885468780994415,0.9999895095825195,0.9999978542327881
2,0,right shoulder,-0.11858882009983063,-0.5288616418838501,-0.0553506463766098,0.9999715089797974,0.9999878406524658
3,0,left elbow,0.22395998239517212,-0.27912813425064087,-0.12784259021282196,0.9925691485404968,0.9999855756759644
4,0,right elbow,-0.13323384523391724,-0.22674904763698578,-0.06361725926399231,0.968693733215332,0.9999673366546631
5,0,left wrist,0.22767265141010284,-0.04985180124640465,-0.1089351624250412,0.9957069754600525,0.9999960660934448
6,0,right wrist,-0.1866035908460617,-0.020156318321824074,-0.14049465954303741,0.9939834475517273,0.999997615814209
7,0,left hip,0.08861566334962845,0.002911732066422701,0.009693287312984467,0.9999861717224121,0.9999992847442627
8,0,right hip,-0.08593205362558365,-0.00578299118205905,-0.008042661473155022,0.9999812841415405,0.999998927116394
9,0,left knee,0.09290417283773422,0.3781231641769409,0.021562756970524788,0.9812715649604797,0.9999924898147583
10,0,right knee,-0.06190404295921326,0.30377522110939026,0.06620720028877258,0.956529974937439,0.9999924898147583
11,0,left ankle,0.10018830001354218,0.710002064704895,0.20718826353549957,0.9882789850234985,0.999981164932251
12,0,right ankle,-0.06835432350635529,0.6727572083473206,0.25184300541877747,0.984377384185791,0.9999754428863525
13,1,head,-0.017538782209157944,-0.6124320030212402,-0.3833952248096466,0.9999686479568481,0.9999961853027344
14,1,left shoulder,0.17782552540302277,-0.46679747104644775,-0.14173084497451782,0.9999898672103882,0.999998927116394
15,1,right shoulder,-0.12532033026218414,-0.5279911756515503,-0.05460987612605095,0.9999720454216003,0.9999915361404419
16,1,left elbow,0.2216947078704834,-0.2635914385318756,-0.10976205766201019,0.9926673769950867,0.9999926090240479
17,1,right elbow,-0.15526874363422394,-0.22629210352897644,-0.056767020374536514,0.969321072101593,0.9999725818634033
18,1,left wrist,0.22538498044013977,-0.03753381967544556,-0.09311780333518982,0.9957798719406128,0.9999983310699463
19,1,right wrist,-0.19743119180202484,-0.017940515652298927,-0.13224327564239502,0.9936640858650208,0.9999963045120239
20,1,left hip,0.08925306051969528,0.0029269454535096884,0.012041332200169563,0.9999861121177673,0.9999992847442627
21,1,right hip,-0.08654709905385971,-0.00578006636351347,-0.010290181264281273,0.9999812841415405,0.9999988079071045
22,1,left knee,0.09296518564224243,0.37980321049690247,0.021596523001790047,0.9813194274902344,0.9999922513961792
23,1,right knee,-0.06029244139790535,0.30523866415023804,0.0662018358707428,0.9566463828086853,0.9999899864196777
24,1,left ankle,0.08192308992147446,0.7175445556640625,0.20803405344486237,0.9882364273071289,0.9999833106994629
25,1,right ankle,-0.06901785731315613,0.6774888038635254,0.25484994053840637,0.9844529032707214,0.9999622106552124
26,2,head,-0.01835034042596817,-0.6118286848068237,-0.383389949798584,0.9999663829803467,0.9999825954437256
27,2,left shoulder,0.1773463934659958,-0.4639720320701599,-0.13828343152999878,0.9999898672103882,0.999997615814209
28,2,right shoulder,-0.12931686639785767,-0.5254160761833191,-0.0528721883893013,0.9999703764915466,0.9999754428863525
29,2,left elbow,0.21982342004776,-0.2621138393878937,-0.10561736673116684,0.9921916723251343,0.9999862909317017
30,2,right elbow,-0.15566891431808472,-0.22497114539146423,-0.05168214067816734,0.9662113189697266,0.999929666519165
31,2,left wrist,0.22444690763950348,-0.03366705775260925,-0.08834432810544968,0.9953490495681763,0.9999959468841553
32,2,right wrist,-0.19690954685211182,-0.013381462544202805,-0.11844434589147568,0.9915287494659424,0.999988317489624
33,2,left hip,0.08966511487960815,0.0029281016904860735,0.012328035198152065,0.999985933303833,0.9999990463256836
34,2,right hip,-0.0869116336107254,-0.005767263472080231,-0.010580985806882381,0.9999809265136719,0.9999982118606567
35,2,left knee,0.09623140096664429,0.38268792629241943,0.020944800227880478,0.9799976944923401,0.9999879598617554
36,2,right knee,-0.05218671262264252,0.30596423149108887,0.06620722264051437,0.9532577395439148,0.9999823570251465
37,2,left ankle,0.08334092795848846,0.7185227274894714,0.20734460651874542,0.9876450300216675,0.9999723434448242
38,2,right ankle,-0.05907335504889488,0.678800642490387,0.2548922300338745,0.9836896061897278,0.9999310970306396
39,3,head,-0.018704267218708992,-0.6120030283927917,-0.38156285881996155,0.9999648332595825,0.999984622001648
40,3,left shoulder,0.17734265327453613,-0.4625743627548218,-0.13152723014354706,0.9999898672103882,0.9999978542327881
41,3,right shoulder,-0.13164539635181427,-0.5241761207580566,-0.04839223995804787,0.9999690651893616,0.9999786615371704
42,3,left elbow,0.21918632090091705,-0.26103782653808594,-0.099362313747406,0.9917393922805786,0.9999876022338867
43,3,right elbow,-0.15733568370342255,-0.22391986846923828,-0.045014288276433945,0.9634859561920166,0.9999369382858276
