frame,part,x,y,z,visibility,presence
0,left shoulder,0.1054951399564743,-0.448330819606781,-0.04545450955629349,0.9870153665542603,0.9563193917274475
0,right shoulder,-0.14962369203567505,-0.4354912042617798,-0.15905283391475677,0.9908973574638367,0.9774591326713562
0,left hip,0.09893449395895004,-0.00305031961761415,0.06211142987012863,0.0015868495684117079,0.00027869659243151546
0,right hip,-0.09682711958885193,-0.0074837179854512215,-0.058086469769477844,0.001987011870369315,0.0003353733045514673
1,left shoulder,0.10564775764942169,-0.44847530126571655,-0.042520973831415176,0.9878110289573669,0.9840747117996216
1,right shoulder,-0.14986729621887207,-0.4357600510120392,-0.16245824098587036,0.991330087184906,0.9860602617263794
1,left hip,0.0990549847483635,-0.0044701844453811646,0.061703912913799286,0.0016242337878793478,0.00019819365115836263
1,right hip,-0.09695538878440857,-0.0056851753033697605,-0.0578388087451458,0.002075875410810113,0.00022496866586152464
2,left shoulder,0.10385364294052124,-0.4500126838684082,-0.037119243294000626,0.9878076910972595,0.9505363702774048
2,right shoulder,-0.14963658154010773,-0.43788665533065796,-0.1624143123626709,0.9908669590950012,0.9538851380348206
2,left hip,0.09893439710140228,-0.0045732841826975346,0.06178177520632744,0.001722073764540255,0.0003404064627829939
2,right hip,-0.09682385623455048,-0.005538544151932001,-0.057954806834459305,0.002221327507868409,0.00036436805385164917
3,left shoulder,0.09790980815887451,-0.45667389035224915,-0.029438761994242668,0.9864644408226013,0.8988268375396729
3,right shoulder,-0.14053763449192047,-0.4404667317867279,-0.16272486746311188,0.9892444014549255,0.9109941124916077
3,left hip,0.09722459316253662,-0.004662571009248495,0.06154962629079819,0.0023329879622906446,0.0011532738571986556
3,right hip,-0.09497162699699402,-0.005441993474960327,-0.05780437961220741,0.003120344365015626,0.001191486488096416
4,left shoulder,0.09647542983293533,-0.4680967926979065,-0.024675676599144936,0.9848237037658691,0.8372507095336914
4,right shoulder,-0.14163817465305328,-0.44683295488357544,-0.15377096831798553,0.987433671951294,0.8601048588752747
4,left hip,0.09717311710119247,-0.006439285818487406,0.05921407788991928,0.0029771055560559034,0.0009374579531140625
4,right hip,-0.09498249739408493,-0.003985148388892412,-0.05578891932964325,0.004208355210721493,0.0010786008788272738
5,left shoulder,0.09653563052415848,-0.4678022563457489,-0.010360370390117168,0.984835147857666,0.9470954537391663
5,right shoulder,-0.14114011824131012,-0.4502246677875519,-0.15304505825042725,0.9858113527297974,0.8999327421188354
5,left hip,0.09815830737352371,-0.006612543016672134,0.05761254206299782,0.003462908323854208,0.0006382983992807567
5,right hip,-0.09603332728147507,-0.0038464933168143034,-0.05444801226258278,0.004729687701910734,0.0005354160093702376
6,left shoulder,0.10077973455190659,-0.46702125668525696,-0.011012451723217964,0.9856327772140503,0.9753798246383667
6,right shoulder,-0.1426742523908615,-0.44693833589553833,-0.15464738011360168,0.9863728284835815,0.9756104350090027
6,left hip,0.10073326528072357,-0.007124850992113352,0.05638234317302704,0.0034048219677060843,0.00020701436733361334
6,right hip,-0.09877568483352661,-0.00327963731251657,-0.0533074252307415,0.004676241427659988,0.00022956097382120788
7,left shoulder,0.0984531044960022,-0.466793954372406,-0.010499853640794754,0.9844043254852295,0.8878074884414673
7,right shoulder,-0.14209234714508057,-0.4468234181404114,-0.15509499609470367,0.9852176308631897,0.8808603882789612
7,left hip,0.09856091439723969,-0.007234578486531973,0.05797900632023811,0.003732202108949423,0.0005741441855207086
7,right hip,-0.09676618874073029,-0.003132341429591179,-0.05491919815540314,0.005344535689800978,0.00066606723703444
8,left shoulder,0.09740807861089706,-0.46708452701568604,-0.011152850463986397,0.9839175939559937,0.9066729545593262
8,right shoulder,-0.14656177163124084,-0.4445682764053345,-0.15626245737075806,0.9855924844741821,0.954095721244812
8,left hip,0.09777934104204178,-0.008433238603174686,0.058168526738882065,0.003931770566850901,0.00045720848720520735
8,right hip,-0.09634985774755478,-0.002099002478644252,-0.05510873720049858,0.005885588936507702,0.0007025030790828168
9,left shoulder,0.09542562067508698,-0.46692195534706116,-0.026153264567255974,0.9839684367179871,0.9326180219650269
9,right shoulder,-0.1472148895263672,-0.44295501708984375,-0.17348609864711761,0.985729992389679,0.9466205835342407
9,left hip,0.09740781038999557,-0.008447322994470596,0.05833137780427933,0.0038850062992423773,0.000398744159610942
9,right hip,-0.09592534601688385,-0.002019670093432069,-0.05524905025959015,0.0058970279060304165,0.0005258130840957165
10,left shoulder,0.09451179206371307,-0.4644826650619507,-0.037639208137989044,0.984908938407898,0.9754079580307007
10,right shoulder,-0.14748379588127136,-0.4394499957561493,-0.18589602410793304,0.986172080039978,0.9656978845596313
10,left hip,0.09735497832298279,-0.008464759215712547,0.05833584815263748,0.003778752638027072,0.0003528966917656362
10,right hip,-0.09575391560792923,-0.0018861903809010983,-0.05523645877838135,0.0057241362519562244,0.00041643730946816504
11,left shoulder,0.09281645715236664,-0.46381106972694397,-0.036667678505182266,0.9850615859031677,0.9310077428817749
11,right shoulder,-0.14746282994747162,-0.4348171353340149,-0.1838267296552658,0.9848506450653076,0.8719180822372437
11,left hip,0.0972253754734993,-0.008392705582082272,0.05829430744051933,0.003998137079179287,0.0006569012766703963
11,right hip,-0.09548607468605042,-0.0018936493434011936,-0.0551736056804657,0.005943879950791597,0.0007015470182523131
12,left shoulder,0.09287650883197784,-0.46157899498939514,-0.03771926835179329,0.9856202602386475,0.9438676834106445
12,right shoulder,-0.14757554233074188,-0.43172651529312134,-0.18259012699127197,0.9842913150787354,0.8988133668899536
12,left hip,0.09742141515016556,-0.008387967012822628,0.05665142834186554,0.0042972685769200325,0.0007996849599294364
12,right hip,-0.09553275257349014,-0.0018443986773490906,-0.053441066294908524,0.006174555979669094,0.0008289692341350019
13,left shoulder,0.09741758555173874,-0.45831701159477234,-0.052856508642435074,0.9862340092658997,0.9428427815437317
13,right shoulder,-0.1472156047821045,-0.4299266040325165,-0.18119262158870697,0.9846394062042236,0.9429135918617249
13,left hip,0.09811956435441971,-0.008385643362998962,0.049981746822595596,0.005179618019610643,0.0019541189540177584
13,right hip,-0.0960608571767807,-0.001834546565078199,-0.04664337635040283,0.0071416436694562435,0.002429887419566512
14,left shoulder,0.0970621407032013,-0.46084311604499817,-0.037698835134506226,0.9850841164588928,0.836078941822052
14,right shoulder,-0.14423306286334991,-0.43419358134269714,-0.17597055435180664,0.9768621921539307,0.6123537421226501
14,left hip,0.09784072637557983,-0.008833919651806355,0.04673038423061371,0.007108945865184069,0.0030478392727673054
14,right hip,-0.09562791138887405,-0.0013121389783918858,-0.04363571107387543,0.008397389203310013,0.0022907766979187727
15,left shoulder,0.09695779532194138,-0.45359793305397034,-0.04110947251319885,0.9861006140708923,0.9730070233345032
15,right shoulder,-0.1442781537771225,-0.4332042336463928,-0.1816049963235855,0.9775511622428894,0.9284768104553223
15,left hip,0.09783690422773361,-0.006905775982886553,0.047099243849515915,0.0075254663825035095,0.0019303609151393175
15,right hip,-0.09556442499160767,-0.0028246191795915365,-0.043975427746772766,0.008455640636384487,0.001381854061037302
16,left shoulder,0.09296796470880508,-0.45497921109199524,-0.041010044515132904,0.9856825470924377,0.8714902400970459
16,right shoulder,-0.14300833642482758,-0.4338071048259735,-0.18597470223903656,0.9735556840896606,0.6899179816246033
16,left hip,0.09678032249212265,-0.006979027763009071,0.046507056802511215,0.008119332604110241,0.0017693081172183156
16,right hip,-0.09478211402893066,-0.0028021971229463816,-0.04347572475671768,0.008683469146490097,0.0012414013035595417
17,left shoulder,0.08599283546209335,-0.4545063376426697,-0.04091843217611313,0.986310601234436,0.9489621520042419
17,right shoulder,-0.14684456586837769,-0.43187278509140015,-0.19174592196941376,0.9730634093284607,0.8488452434539795
17,left hip,0.09644913673400879,-0.006910115946084261,0.04662498086690903,0.008496751077473164,0.0016223458806052804
17,right hip,-0.0943814069032669,-0.0028854080010205507,-0.04358555004000664,0.008726811036467552,0.0010732081718742847
18,left shoulder,0.08614526689052582,-0.4545574486255646,-0.04530186951160431,0.9871951937675476,0.9660046100616455
18,right shoulder,-0.15254372358322144,-0.43080559372901917,-0.18782104551792145,0.9732363224029541,0.8634710907936096
18,left hip,0.09746826440095901,-0.008291867561638355,0.044048599898815155,0.008529954589903355,0.0012195865856483579
18,right hip,-0.09510649740695953,-0.0017668904038146138,-0.04080311581492424,0.008443186990916729,0.0008115782402455807
19,left shoulder,0.08380220085382462,-0.45919954776763916,-0.04167989641427994,0.9861050248146057,0.8553037643432617
19,right shoulder,-0.1524531990289688,-0.43439990282058716,-0.1878138929605484,0.967011570930481,0.5726239085197449
19,left hip,0.09685695171356201,-0.00879618525505066,0.044275913387537,0.008642734959721565,0.0010247763711959124
19,right hip,-0.09480609744787216,-0.0014451486058533192,-0.040989767760038376,0.008403387852013111,0.0007112201419658959
20,left shoulder,0.0825946107506752,-0.45918285846710205,-0.04582049325108528,0.9858826994895935,0.8863210082054138
20,right shoulder,-0.16025325655937195,-0.433408260345459,-0.19059959053993225,0.9647314548492432,0.7061406373977661
20,left hip,0.09709253162145615,-0.009071271866559982,0.04449388012290001,0.008642058819532394,0.0010063372319564223
20,right hip,-0.09517649561166763,-0.0012181127676740289,-0.04121023416519165,0.008222303353250027,0.0007582551916129887
21,left shoulder,0.07025962322950363,-0.4587612450122833,-0.03387787938117981,0.9842281341552734,0.7857834696769714
21,right shoulder,-0.15961414575576782,-0.4332434833049774,-0.19468198716640472,0.9607167840003967,0.6620020270347595
21,left hip,0.09560475498437881,-0.00884153600782156,0.048114314675331116,0.008828828111290932,0.0011873167240992188
21,right hip,-0.09391520917415619,-0.0012980764731764793,-0.044989440590143204,0.00826488621532917,0.0008972444920800626
22,left shoulder,0.06250935792922974,-0.458074152469635,-0.03257789835333824,0.9843491315841675,0.892731249332428
22,right shoulder,-0.15918442606925964,-0.42973077297210693,-0.20679491758346558,0.9593280553817749,0.7153913378715515
22,left hip,0.09434841573238373,-0.008831211365759373,0.05025077983736992,0.00903142150491476,0.0012768862070515752
22,right hip,-0.09266910701990128,-0.0012930012308061123,-0.04714035615324974,0.008311028592288494,0.0008297821041196585
23,left shoulder,0.06256058067083359,-0.4580768048763275,-0.03438978269696236,0.9843207597732544,0.8709356784820557
23,right shoulder,-0.16145114600658417,-0.42724278569221497,-0.20681676268577576,0.9575017094612122,0.7029573917388916
23,left hip,0.09438280761241913,-0.00913072470575571,0.050141554325819016,0.00918217096477747,0.0013739799614995718
23,right hip,-0.09268736094236374,-0.0009327629231847823,-0.04703259840607643,0.008309513330459595,0.0009362546843476593
24,left shoulder,0.05879117175936699,-0.45783257484436035,-0.05279086157679558,0.9844668507575989,0.8916276693344116
24,right shoulder,-0.16186541318893433,-0.42085036635398865,-0.22225582599639893,0.9576725363731384,0.7873392105102539
24,left hip,0.09416180104017258,-0.009230473078787327,0.05008188635110855,0.009507282637059689,0.0021643219515681267
24,right hip,-0.09250827133655548,-0.0007549791480414569,-0.04697464406490326,0.008590384386479855,0.0016234415816143155
25,left shoulder,0.05660264194011688,-0.46660396456718445,-0.025808291509747505,0.984321653842926,0.8856859803199768
25,right shoulder,-0.1621968299150467,-0.42243221402168274,-0.18661010265350342,0.9569935202598572,0.7117030024528503
25,left hip,0.09305551648139954,-0.011869458481669426,0.048125047236680984,0.011204133741557598,0.004738351795822382
25,right hip,-0.09128964692354202,0.0022932507563382387,-0.045182060450315475,0.009999027475714684,0.0030692825093865395
26,left shoulder,0.04834304377436638,-0.47217434644699097,-0.013169592246413231,0.984931468963623,0.9543517827987671
26,right shoulder,-0.16344007849693298,-0.42197465896606445,-0.1857677400112152,0.9585866332054138,0.8705575466156006
26,left hip,0.09034787863492966,-0.014455399475991726,0.048601314425468445,0.015195622108876705,0.015414511784911156
26,right hip,-0.08894773572683334,0.005089053884148598,-0.04578031226992607,0.013907069340348244,0.009776814840734005
27,left shoulder,0.04770218953490257,-0.47344470024108887,-0.029654646292328835,0.9856557250022888,0.9504194259643555
27,right shoulder,-0.16701801121234894,-0.40881815552711487,-0.19486834108829498,0.9596352577209473,0.8096238374710083
27,left hip,0.09016827493906021,-0.019907481968402863,0.0474645271897316,0.015847861766815186,0.004776015877723694
27,right hip,-0.08859571814537048,0.010448090732097626,-0.04460394009947777,0.01439537201076746,0.0029163307044655085
28,left shoulder,0.04304862767457962,-0.48924538493156433,-0.021402694284915924,0.9835909605026245,0.8886560201644897
28,right shoulder,-0.1548742651939392,-0.42273953557014465,-0.19580960273742676,0.9447508454322815,0.4192303717136383
28,left hip,0.08567830920219421,-0.01989416591823101,0.04841174930334091,0.021517083048820496,0.012278016656637192
28,right hip,-0.08370668441057205,0.010467792861163616,-0.04568661376833916,0.018323004245758057,0.005020716693252325
29,left shoulder,0.0447390079498291,-0.4955498278141022,-0.021921515464782715,0.9846970438957214,0.9639056921005249
29,right shoulder,-0.15501999855041504,-0.42212703824043274,-0.1963350623846054,0.9463279247283936,0.7520061135292053
29,left hip,0.08548671007156372,-0.020717119798064232,0.0465489886701107,0.035470787435770035,0.03194236010313034
29,right hip,-0.0836053341627121,0.011188467964529991,-0.04399314522743225,0.02750764787197113,0.015130366198718548
30,left shoulder,0.04571334272623062,-0.49350813031196594,-0.06676949560642242,0.9857718348503113,0.9792894124984741
30,right shoulder,-0.13287769258022308,-0.39012882113456726,-0.25848570466041565,0.9492508769035339,0.8399636149406433
30,left hip,0.08001500368118286,-0.023302922025322914,0.04732034355401993,0.06604693084955215,0.09050129354000092
30,right hip,-0.07911288738250732,0.014016523025929928,-0.04495367035269737,0.04966435953974724,0.03156780079007149
31,left shoulder,0.03671765327453613,-0.49265265464782715,-0.06711072474718094,0.9850708246231079,0.9117364287376404
31,right shoulder,-0.12597548961639404,-0.3945806920528412,-0.2598630487918854,0.9479221105575562,0.679436445236206
31,left hip,0.07015344500541687,-0.023145047947764397,0.04929060861468315,0.08615954965353012,0.06391412019729614
31,right hip,-0.07109290361404419,0.013888624496757984,-0.047401249408721924,0.059803448617458344,0.020368296653032303
32,left shoulder,0.037021927535533905,-0.49062779545783997,-0.06455565243959427,0.9857190847396851,0.9736024141311646
32,right shoulder,-0.12226884812116623,-0.3917601704597473,-0.25540030002593994,0.9496716856956482,0.7471933364868164
32,left hip,0.06631482392549515,-0.024521732702851295,0.05286993831396103,0.1252640187740326,0.1257995069026947
32,right hip,-0.0677318125963211,0.015541129745543003,-0.05134028568863869,0.08044429868459702,0.025582121685147285
33,left shoulder,0.03587379679083824,-0.48950281739234924,-0.0861014574766159,0.9868460297584534,0.9935550093650818
33,right shoulder,-0.11311393231153488,-0.36590319871902466,-0.27581918239593506,0.9529824256896973,0.8554635643959045
