frame,sway_index,Posture_Deviatation,CoM_Distance,sway_deviation,posture_deviation_deviation,com_distance_deviation
0,0.0,0.06707850804807261,0.0003246610106512251,0.0008045770311564408,0.006459404186812692,0.002606639130724964
1,0.0,0.06464163997760188,0.00027089087712747246,0.0008045770311564408,0.008896272257283427,0.0026604092642487165
2,0.0,0.06309196864321538,0.00024145941583820303,0.0008045770311564408,0.01044594359166992,0.002689840725537986
3,0.0,0.0596725984451323,0.0002352173199018927,0.0008045770311564408,0.013865313789753003,0.0026960828214742964
4,0.0,0.060100295836803465,0.00022383613120883616,0.0008045770311564408,0.013437616398081838,0.0027074640101673528
5,0.0,0.06071769611928653,0.00024333980748977312,0.0008045770311564408,0.012820216115598776,0.002687960333886416
6,0.0,0.05980108923195712,0.00022515321114208834,0.0008045770311564408,0.01373682300292818,0.0027061469302341007
7,0.0,0.05906101688319397,0.0002585859127193193,0.0008045770311564408,0.014476895351691332,0.0026727142286568696
8,0.0,0.05797018955526219,0.0002467635727178667,0.0008045770311564408,0.015567722679623114,0.002684536568658322
9,0.0,0.057876715921841765,0.00023429896337474212,0.0008045770311564408,0.015661196313043538,0.002697001178001447
10,0.0,0.0581629162019119,0.00023239456444420635,0.0008045770311564408,0.015374996032973404,0.002698905576931983
11,0.0,0.05878846399989972,0.00020145474832485916,0.0008045770311564408,0.014749448234985585,0.0027298453930513296
12,0.0,0.05676773526413912,0.00021234222015466898,0.0008045770311564408,0.016770176970746183,0.00271895792122152
13,0.0,0.0565932629346373,0.00020048519067263556,0.0008045770311564408,0.016944649300248,0.0027308149507035535
14,0.0,0.05698627501859008,0.00018314551001540034,0.0008045770311564408,0.016551637216295226,0.002748154631360789
15,0.0,0.05907368287207258,0.0001777982034848076,0.0008045770311564408,0.01446422936281272,0.0027535019378913815
16,0.0,0.05953685697974031,0.00016993229008631987,0.0008045770311564408,0.014001055255144994,0.002761367851289869
17,0.0,0.05944196261151872,0.0001532229557716863,0.0008045770311564408,0.014095949623366584,0.0027780771856045026
18,0.0,0.05929574129709848,0.00013778513257010187,0.0008045770311564408,0.014242170937786826,0.0027935150088060873
19,0.0,0.05895920156064695,0.00013499648649454234,0.0008045770311564408,0.014578710674238354,0.0027963036548816467
20,0.0,0.05845595834815879,0.00013027052404834558,0.0008045770311564408,0.015081953886726514,0.0028010296173278434
21,0.0,0.05794939691910417,0.00012693813470507055,0.0008045770311564408,0.015588515315781135,0.0028043620066711184
22,0.0,0.057888349169589785,0.00012286676657839428,0.0008045770311564408,0.015649563065295517,0.0028084333747977947
23,0.0,0.05789263773973255,0.0001079123608472434,0.0008045770311564408,0.015645274495152753,0.0028233877805289454
24,0.0,0.0577787163609597,9.969582642821449e-05,0.0008045770311564408,0.015759195873925602,0.0028316043149479745
25,0.0,0.05750588988443371,8.926514086710333e-05,0.0008045770311564408,0.01603202235045159,0.0028420350005090855
26,0.0,0.056572770633568796,7.699373469724319e-05,0.0008045770311564408,0.016965141601316507,0.0028543064066789458
27,0.0,0.05639459869260161,4.9170919305763504e-05,0.0008045770311564408,0.01714331354228369,0.0028821292220704256
28,0.0,0.05475291914181115,4.6617683589808556e-05,0.0008045770311564408,0.018784993093074152,0.0028846824577863804
29,0.00012061323368950605,0.05529865483709311,4.445470427800704e-05,0.0006839637974669348,0.01823925739779219,0.0028868454370981817
30,0.00010765385605399795,0.05584932343310742,0.0,0.0006969231751024429,0.017688588801777885,0.002931300141376189
31,0.0001017561514826709,0.05527428656549854,2.8629202484643537e-05,0.00070282087967377,0.01826362566938676,0.0029026709388915452
32,0.00010035592833349727,0.055153198014216684,3.8120240351520913e-05,0.0007042211028229435,0.01838471422066862,0.002893179901024668
33,0.0001007976534654916,0.05492249420256714,4.590326914947356e-05,0.0007037793776909492,0.018615418032318164,0.0028853968722267155
34,0.00010160198456814537,0.05441429583673655,6.100767970223828e-05,0.0007029750465882955,0.019123616398148753,0.002870292461673951
35,0.00010096605721565487,0.05421886097048317,9.010735378564951e-05,0.000703610973940786,0.019319051264402136,0.0028411927875905394
36,0.0001027110210157813,0.048080175219169685,0.0001328155792793622,0.0007018660101406596,0.025457737015715617,0.002798484562096827
37,0.00010307988496478714,0.04511550315806811,0.00014653422509995374,0.0007014971461916537,0.028422409076817194,0.0027847659162762353
38,0.00010596461428986038,0.045105913732043784,0.00021336353114507846,0.0006986124168665805,0.02843199850284152,0.0027179366102311107
39,0.00010699690575680382,0.04494149559444852,0.00019520848888236752,0.000697580125399637,0.02859641664043678,0.0027360916524938215
40,0.00010987591610528084,0.04229996305908491,0.00027442083871393396,0.0006947011150511599,0.031237949175800396,0.002656879302662255
41,0.00011406445156620185,0.04367600786784135,0.0002696734164343922,0.000690512579590239,0.029861904367043952,0.002661626724941797
42,0.00012652539065492163,0.04467368226810706,0.0003721294370760756,0.0006780516405015192,0.028864229966778246,0.0025591707043001134
43,0.00016043851286288676,0.04751464090631504,0.000577506201831772,0.0006441385182935541,0.026023271328570262,0.002353793939544417
44,0.0001879342605351053,0.048461752266719976,0.0005952640749169362,0.0006166427706213356,0.025076159968165326,0.0023360360664592527
45,0.0002095637671826182,0.053061404920525836,0.0005829965097778202,0.0005950132639738226,0.020476507314359467,0.0023483036315983686
46,0.00022851205078434314,0.053749514774990056,0.0005908215608792511,0.0005760649803720977,0.019788397459895246,0.002340478580496938
47,0.00024169067602210835,0.05496241130023132,0.000537902399119509,0.0005628863551343325,0.01857550093465398,0.00239339774225668
48,0.00024978338382799446,0.06475212146609255,0.0004790913380538329,0.0005547936473284463,0.008785790768792753,0.002452208803322356
49,0.00025489234559627653,0.06523090904071303,0.00043432137152188085,0.0005496846855601643,0.008307003194172269,0.0024969787698543083
50,0.00025804473825489984,0.06619608863639444,0.00039605316958892537,0.000546532292901541,0.007341823598490865,0.0025352469717872636
51,0.0002594198739650386,0.06873029142894987,0.0003452157923327549,0.0005451571571914021,0.004807620805935428,0.002586084349043434
52,0.0002601630122797426,0.06808445982277904,0.00034434215769028377,0.0005444140188766982,0.005453452412106263,0.0025869579836859053
53,0.00026051546312871724,0.0687434962745832,0.0003159546124229888,0.0005440615680277236,0.004794415960302098,0.0026153455289532
54,0.000262051291627552,0.06781199317782097,0.0003262214183005663,0.0005425257395288888,0.005725919057064335,0.0026050787230756226
55,0.00026516667344044875,0.06239570248323931,0.00037438166848850584,0.0005394103577159921,0.011142209751645996,0.002556918472887683
56,0.00027284981074204726,0.061853738549413464,0.0004748873296407962,0.0005317272204143936,0.011684173685471838,0.0024564128117353927
57,0.0002831946559445605,0.061035285841351476,0.0005532018235989159,0.0005213823752118804,0.012502626393533826,0.002378098317777273
58,0.0002964731495478412,0.05957315870329996,0.0006284958585356185,0.0005081038816085997,0.013964753531585342,0.0023028042828405703
59,0.00031764575763956016,0.06008731492864314,0.0007685848160644509,0.00048693127351688066,0.013450597306242165,0.002162715325311738
60,0.00034099825659526854,0.05921352638796799,0.0008765950712168784,0.0004635787745611723,0.014324385846917316,0.0020547050701593106
61,0.0003737784901746568,0.0533033702044163,0.001075855188266287,0.00043079854098178403,0.020234542030469004,0.001855444953109902
62,0.0004178700659925329,0.04347472611818117,0.0013192160034415546,0.0003867069651639079,0.03006318611670413,0.0016120841379346344
63,0.00047006118109832245,0.03996582058016158,0.0015341822001596808,0.00033451585005811837,0.033572091654723725,0.0013971179412165082
64,0.0005287683598999331,0.04038604423661559,0.0017245437947538053,0.00027580867125650773,0.03315186799826971,0.0012067563466223836
65,0.0005730113463630889,0.04855911613467156,0.0016761204245433036,0.0002315656847933519,0.024978796100213745,0.0012551797168328853
66,0.0006077219324074587,0.048342670375992075,0.0016261620931268515,0.0001968550987489821,0.025195241858893228,0.0013051380482493374
67,0.0006323808688624487,0.04813570592587526,0.0015408524479243579,0.00017219616229399216,0.025402206309010043,0.001390447693451831
68,0.0006487561673289144,0.04555906662205587,0.001435521532336375,0.00015582086382752642,0.027978845612829435,0.001495778609039814
69,0.0006703122049650237,0.03893155540240759,0.001526291774507791,0.00013426482619141708,0.03460635683247771,0.001405008366868398
70,0.000691511273147093,0.038285878194428344,0.0014840360425565028,0.00011306575800934787,0.03525203404045696,0.0014472640988196861
71,0.0007118760432825791,0.03745380663819845,0.0015171596750915884,9.270098787386174e-05,0.03608410559668685,0.0014141404662846005
72,0.000724570951543667,0.037939642907028774,0.0013778670212174062,8.000607961277382e-05,0.03559826932785653,0.0015534331201587828
73,0.0007257337218578529,0.03924582695220466,0.0013724196674413578,7.884330929858793e-05,0.03429208528268064,0.0015588804739348312
74,0.0007241530044278379,0.039536132758745283,0.0014156677496383455,8.04240267286029e-05,0.03400177947614002,0.0015156323917378434
75,0.0007191091495111196,0.047834493547352044,0.0014554351121758434,8.546788164532119e-05,0.025703418687533258,0.0014758650292003455
76,0.0007089736766041299,0.04713409134942547,0.0014813957756337648,9.560335455231089e-05,0.026403820885459832,0.001449904365742424
77,0.0006958060220922457,0.047678546688241605,0.001556994002008844,0.00010877100906419516,0.025859365546643698,0.001374306139367345
78,0.0006842244119340202,0.049102537834939834,0.0016477441501539238,0.00012035261922242063,0.02443537439994547,0.001283555991222265
79,0.0006698955222286757,0.04885564812879449,0.001692226113248721,0.00013468150892776516,0.024682264106090812,0.001239074028127468
80,0.0006575392410587257,0.04869229432173445,0.001733921925882776,0.00014703779009771515,0.024845617913150854,0.0011973782154934129
81,0.0006470926160677855,0.04877693226681172,0.0017848615646082096,0.00015748441508865534,0.024760979968073582,0.0011464385767679794
82,0.0006282538421034125,0.04986581373398691,0.0016842207929774952,0.00017632318905302837,0.023672098500898395,0.0012470793483986937
83,0.0006056183863599084,0.049919747196681935,0.001584588241757032,0.0001989586447965324,0.023618165038203368,0.001346711899619157
84,0.0005791935595151135,0.04979047950155807,0.0014365632783402075,0.00022538347164132735,0.02374743273332723,0.0014947368630359814
85,0.0005531621921725869,0.04648610579566506,0.001063658289152581,0.0002514148389838539,0.02705180643922024,0.0018676418522236078
86,0.0005656930604971739,0.04789717259886292,0.0007107137180963191,0.0002388839706592669,0.025640739636022383,0.0022205864232798696
87,0.0006238725304252156,0.04897379117465365,0.0008881526213385904,0.0001807045007312252,0.024564121060231654,0.0020431475200375984
88,0.0007186824384850775,0.049751763898456085,0.001190937149015177,8.589459267136336e-05,0.023786148336429218,0.001740362992361012
89,0.0008070211513454612,0.05092035064763932,0.0012669824785107918,2.4441201890204036e-06,0.022617561587245982,0.0016643176628653971
90,0.0008698431961285829,0.0505557870323434,0.0010640830908222455,6.526616497214209e-05,0.022982125202541906,0.0018672170505539434
91,0.0009221509392143323,0.05168902437586853,0.0009222963150770106,0.00011757390805789151,0.021848887859016772,0.0020090038262991785
92,0.0009590274515565227,0.050432540089335495,0.000828760350118509,0.00015445042040008192,0.023105372145549807,0.00210253979125768
93,0.0009728243434268107,0.046460054380840485,0.0006456561742219222,0.00016824731227036988,0.027077857854044818,0.002285643967154267
94,0.0009846749056984093,0.05488202187770026,0.0007595359234676715,0.0001800978745419685,0.01865589035718504,0.0021717642179085173
95,0.0009943147262131866,0.05470867780307982,0.0008434088553895552,0.00018973769505674582,0.01882923443180548,0.002087891285986634
96,0.0010052569502277734,0.05411010693523224,0.0010381311087741022,0.00020067991907133254,0.019427805299653066,0.0018931690326020867
97,0.0010157435060585741,0.04211611403616125,0.0011822396043462385,0.0002111664749021333,0.03142179819872405,0.0017490605370299504
98,0.0010230654701220301,0.036827808499381956,0.001317680682767486,0.00021848843896558933,0.03671010373550335,0.0016136194586087028
99,0.0010264694875193425,0.035822916387328346,0.001331477260712958,0.0002218924563629017,0.037714995847556956,0.001599822880663231
100,0.0010266223510978047,0.036814135333771245,0.0012602085790370447,0.0002220453199413639,0.03672377690111406,0.0016710915623391442
101,0.001020961994285833,0.0388888207573995,0.00123306779534491,0.00021638496312939223,0.0346490914774858,0.001698232346031279
102,0.0010128935181477553,0.04095978515730955,0.0012052317058477279,0.00020831648699131452,0.03257812707757575,0.001726068435528461
103,0.0010012053279493391,0.0473603783283572,0.0011792331501687722,0.00019662829679289832,0.026177533906528105,0.0017520669912074167
104,0.0009845436388571098,0.04857464163277895,0.0011491536723733534,0.00017996660770066902,0.024963270602106354,0.0017821464690028356
105,0.0009610258909885899,0.04477823866469541,0.0011400394034920005,0.00015644885983214906,0.028759673570189895,0.0017912607378841885
106,0.0009327395191452564,0.04557938855830875,0.0009981584439961511,0.0001281624879888156,0.02795852367657655,0.0019331416973800378
107,0.0009033326368360118,0.04630510235608548,0.0006533506462995892,9.875560567957102e-05,0.02723280987879982,0.0022779494950766
108,0.0008735326650160091,0.045125615477941146,0.0005661944254439842,6.895563385956823e-05,0.028412296756944157,0.0023651057159322047
109,0.0008466904919331053,0.04457478912084361,0.0005916840182864793,4.2113460776664526e-05,0.028963123114041693,0.0023396161230897095
110,0.0008169866112695358,0.04313336487332823,0.0006198348839261801,1.240958011309494e-05,0.030404547361557073,0.0023114652574500088
111,0.0007785085768979192,0.040806264304042154,0.0006272115289660643,2.6068454258521608e-05,0.03273164793084315,0.0023040886124101245
112,0.0007479267133331887,0.041114348022365764,0.0006897088143567993,5.6650317823252086e-05,0.03242356421251954,0.0022415913270193897
113,0.0007266344118365743,0.040866236572782294,0.0008041977911388994,7.794261931986656e-05,0.03267167566210301,0.0021271023502372893
114,0.0007125977957184301,0.04096033914384554,0.0008032093792365083,9.197923543801073e-05,0.032577573091039765,0.0021280907621396804
115,0.0007378780272598621,0.038647302856791445,0.0011369027459661295,6.669900389657873e-05,0.03489060937809386,0.0017943973954100594
116,0.0007832422940438603,0.03446644905470916,0.0013855501283406954,2.1334737112580523e-05,0.039071463180176146,0.0015457500130354935
117,0.0008115497513625162,0.03245281002173823,0.0014619728246557072,6.972720206075388e-06,0.041085102213147075,0.0014693273167204817
118,0.0008226861983411412,0.03133019088374975,0.0017120683021005325,1.8109167184700422e-05,0.042207721351135555,0.0012192318392756564
119,0.0008330646593952223,0.030364643884057827,0.0019528422997047647,2.8487628238781527e-05,0.04317326835082748,0.0009784578416714242
120,0.0008409725130632455,0.032796693058670855,0.001894512829657429,3.6395481906804656e-05,0.04074121917621445,0.00103678731171876
121,0.0008424172499273023,0.035712724911626706,0.0018466901623966025,3.784021877086148e-05,0.0378251873232586,0.0010846099789795865
122,0.0008355402584211653,0.042096391766464555,0.0016193810374725667,3.096322726472446e-05,0.03144152046842075,0.0013119191039036222
123,0.0008380305219020931,0.04431202070060002,0.0014043312321678427,3.345349074565225e-05,0.02922589153428528,0.0015269689092083463
